"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"cadastro_vinculado_id";"bloco_origem";"linha_ordem";"secao_interna";"categoria_secao";"produto";"litragem";"versao";"abrangencia";"row_excel";"linha_original"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"1";"cadastros_vinculados";"1";"CADASTROS PARA TODAS AS LOJAS";"cadastro";"Amac. Concentrado";"1,5L";"Azul";"NULL";"63";"Amac. Concentrado | 1,5L | Azul | Todas as lojas"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"2";"cadastros_vinculados";"2";"CADASTROS PARA TODAS AS LOJAS";"cadastro";"Pack promocional";"1L";"Pack Amaciante concentrado 30%";"NULL";"64";"Pack promocional | 1L | Pack Amaciante concentrado 30% | Todas as lojas"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"3";"cadastros_vinculados";"1";"LIBERAÇÃO PARA TODAS AS LOJAS - EM ANÁLISE";"liberacao";"Lava Roupas";"5L";"Ternura";"NULL";"68";"Lava Roupas | 5L | Ternura | Todas as lojas"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"4";"cadastros_vinculados";"2";"LIBERAÇÃO PARA TODAS AS LOJAS - EM ANÁLISE";"liberacao";"Amac. Concentrado";"1,5L";"Ternura | Misterio";"NULL";"69";"Amac. Concentrado | 1,5L | Ternura | Misterio | Todas as lojas"
"2";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"COMERCIAL SERRA";"1";"COMERCIAL SERRA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"5";"cadastros_vinculados";"1";"CADASTRO";"cadastro";"Lava Roupas Pó";"800g e 4Kg";"Multiação | Flores Brancas";"NULL";"56";"Lava Roupas Pó | 800g e 4Kg | Multiação | Flores Brancas"
"2";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"COMERCIAL SERRA";"1";"COMERCIAL SERRA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"6";"cadastros_vinculados";"2";"CADASTRO";"cadastro";"Lava Roupas Lavagem Rápida";"1L";"Total Clean (789.8302.00645-4) | Fresh Clean (789.8302.00646-1)";"NULL";"57";"Lava Roupas Lavagem Rápida | 1L | Total Clean (789.8302.00645-4) | Fresh Clean (789.8302.00646-1)"
"2";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"COMERCIAL SERRA";"1";"COMERCIAL SERRA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"7";"cadastros_vinculados";"3";"CADASTRO";"cadastro";"Lava Roupas Lavagem Rápida";"1,5L";"Total Clean (789.8302.00647-8) | Fresh Clean (789.8302.00648-5)";"NULL";"58";"Lava Roupas Lavagem Rápida | 1,5L | Total Clean (789.8302.00647-8) | Fresh Clean (789.8302.00648-5)"
"3";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"RAGAN";"1";"RAGAN";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"8";"cadastros_vinculados";"1";"CADASTRO";"cadastro";"Lava Roupas";"3L + 5L";"Multiação";"NULL";"45";"Lava Roupas | 3L + 5L | Multiação"
"3";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"RAGAN";"1";"RAGAN";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"9";"cadastros_vinculados";"2";"CADASTRO";"cadastro";"Amaciante Concentrado";"1L + 500ml";"Ternura | Harmonia";"NULL";"46";"Amaciante Concentrado | 1L + 500ml | Ternura | Harmonia"
"3";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"RAGAN";"1";"RAGAN";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"10";"cadastros_vinculados";"3";"CADASTRO";"cadastro";"Amaciante";"2L";"NULL";"NULL";"47";"Amaciante | 2L"
