"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"contrapartida_id";"bloco_origem";"linha_ordem";"quantidade";"quantidade_numerica";"tipo_acao";"periodo";"lojas";"obs";"row_excel";"linha_original"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"1";"contrapartidas";"1";"18";"18.0000";"Arrastão";"18 produtos no ano (conforme calendário rodapé)";"NULL";"R$ 45.000,00 (valor fixo, sem sell out)";"52";"18 | Arrastão | 18 produtos no ano (conforme calendário rodapé) | R$ 45.000,00 (valor fixo, sem sell out)"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"2";"contrapartidas";"2";"2";"2.0000";"Reels Instagram com Influencer";"Produto informado pelo Marketing";"NULL";"12000";"53";"2 | Reels Instagram com Influencer | Produto informado pelo Marketing | 12000"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"3";"contrapartidas";"3";"1";"1.0000";"Vídeo Influencer Jana Instagram";"Produto informado pelo Marketing";"NULL";"6000";"54";"1 | Vídeo Influencer Jana Instagram | Produto informado pelo Marketing | 6000"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"4";"contrapartidas";"4";"1";"1.0000";"Story Instagram Stok Center";"Produto informado pelo Marketing";"NULL";"4000";"55";"1 | Story Instagram Stok Center | Produto informado pelo Marketing | 4000"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"5";"contrapartidas";"5";"4";"4.0000";"SMS Clube";"4 cotas de Ação SMS";"NULL";"4000";"56";"4 | SMS Clube | 4 cotas de Ação SMS | 4000"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"6";"contrapartidas";"6";"10";"10.0000";"Pontos Extras* De 15 de Janeiro à 15 de Novembro";"Mensal";"NULL";"Lojas 20 | 23 | 24 | 35 | 39 | 40 | 55 | 65 | 75 | 85";"57";"10 | Pontos Extras* De 15 de Janeiro à 15 de Novembro | Mensal | Lojas 20 | 23 | 24 | 35 | 39 | 40 | 55 | 65 | 75 | 85"
"2";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"COMERCIAL SERRA";"1";"COMERCIAL SERRA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"7";"contrapartidas";"1";"4";"4.0000";"Fotos Encarte";"Mensal (1° Quinzena)";"NULL";"NULL";"39";"4 | Fotos Encarte | Mensal (1° Quinzena)"
"2";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"COMERCIAL SERRA";"1";"COMERCIAL SERRA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"8";"contrapartidas";"2";"2";"2.0000";"Pontas de Gôndola";"Mensal";"A definir";"NULL";"40";"2 | Pontas de Gôndola | Mensal | A definir"
"3";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"RAGAN";"1";"RAGAN";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"9";"contrapartidas";"1";"1";"1.0000";"Encarte";"Mensal";"NULL";"NULL";"38";"1 | Encarte | Mensal"
"3";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"RAGAN";"1";"RAGAN";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"10";"contrapartidas";"2";"1";"1.0000";"Ponta";"Bimestre";"NULL";"NULL";"39";"1 | Ponta | Bimestre"
