"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"descricao_investimento_id";"linha_ordem";"tipo_registro";"descricao";"valor_original";"valor_numerico";"unidade";"observacao";"lado_layout";"row_excel";"linha_original"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"1";"2";"descricao_investimento";"PERCENTUAL DE INVESTIMENTO - PONTAS:";"1%";"1.0000";"%";"NULL";"NULL";"35";"PERCENTUAL DE INVESTIMENTO - PONTAS: | 1%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"2";"3";"descricao_investimento";"PERCENTUAL DE INVESTIMENTO - PEDIDOS:";"1%";"1.0000";"%";"NULL";"NULL";"38";"PERCENTUAL DE INVESTIMENTO - PEDIDOS: | 1%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"3";"4";"descricao_investimento";"PERCENTUAL DE INVESTIMENTO - INAUGURAÇÕES, BANNER APP, BRINDES NA COMPRA";"1%";"1.0000";"%";"NULL";"NULL";"41";"PERCENTUAL DE INVESTIMENTO - INAUGURAÇÕES, BANNER APP, BRINDES NA COMPRA | 1%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"4";"5";"descricao_investimento";"PERCENTUAL DE INVESTIMENTO TOTAL:";"3%";"3.0000";"%";"NULL";"NULL";"44";"PERCENTUAL DE INVESTIMENTO TOTAL: | 3%"
"2";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"COMERCIAL SERRA";"1";"COMERCIAL SERRA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"5";"2";"descricao_investimento";"A CADA CARGA COMPRADA, SERÁ PAGO VALOR DE: (MAIS OU MENOS 1.400CX)";"1200";"1200.0000";"CX";"NULL";"NULL";"16";"A CADA CARGA COMPRADA, SERÁ PAGO VALOR DE: (MAIS OU MENOS 1.400CX) | 1200"
"2";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"COMERCIAL SERRA";"1";"COMERCIAL SERRA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"6";"3";"descricao_investimento";"OBJETIVO TOTAL EM CAIXAS";"9800";"9800.0000";"CX";"NULL";"NULL";"19";"OBJETIVO TOTAL EM CAIXAS | 9800"
"2";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"COMERCIAL SERRA";"1";"COMERCIAL SERRA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"7";"4";"descricao_investimento";"PERCENTUAL DE INVESTIMENTO: OBJETIVO LAVA ROUPAS E AMAC. CONCENTRADO";"1%";"1.0000";"%";"NULL";"NULL";"22";"PERCENTUAL DE INVESTIMENTO: OBJETIVO LAVA ROUPAS E AMAC. CONCENTRADO | 1%"
"2";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"COMERCIAL SERRA";"1";"COMERCIAL SERRA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"8";"5";"descricao_investimento";"GATILHO ADICIONAL PARA VOLUME TOTAL:";"1%";"1.0000";"%";"NULL";"NULL";"25";"GATILHO ADICIONAL PARA VOLUME TOTAL: | 1%"
"2";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"COMERCIAL SERRA";"1";"COMERCIAL SERRA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"9";"6";"descricao_investimento";"SE O VOLUME AO FINAL DO PLANO FOR 9.800CX, CLIENTE GANHARÁ 1% SOBRE A COMPRA TOTAL DO ANO";"NULL";"NULL";"%";"NULL";"NULL";"26";"SE O VOLUME AO FINAL DO PLANO FOR 9.800CX, CLIENTE GANHARÁ 1% SOBRE A COMPRA TOTAL DO ANO"
"3";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"RAGAN";"1";"RAGAN";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"10";"2";"descricao_investimento";"VALOR DE INVESTIMENTO:";"6000";"6000.0000";"NULL";"NULL";"NULL";"27";"VALOR DE INVESTIMENTO: | 6000"
"3";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"RAGAN";"1";"RAGAN";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"11";"3";"descricao_investimento";"FORMA DE PAGAMENTO:";"Obs: mínimo 5 parcelas";"NULL";"NULL";"NULL";"NULL";"30";"FORMA DE PAGAMENTO: | DEPÓSITO EM CONTA - 5 PARCELAS (R$ 1.200,00) - Mediante a entrada de pedido | Obs: mínimo 5 parcelas"
"4";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MASTER";"1";"MASTER ATS";"PLANO DE NEGÓCIOS";"NULL";"MARÇO À DEZEMBRO/26";"2026-03";"2026-12";"2026-03 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"12";"2";"descricao_investimento";"VALOR DE INVESTIMENTO TOTAL:";"30000";"30000.0000";"NULL";"NULL";"NULL";"35";"VALOR DE INVESTIMENTO TOTAL: | 30000"
