"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"historico_id";"linha_ordem";"tipo_registro";"ano_bloco";"descricao";"valor_original";"valor_numerico";"unidade";"row_excel";"linha_original"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"1";"1";"historico";"2024";"HISTÓRICO";"NULL";"NULL";"NULL";"14";"HISTÓRICO | 2024"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"2";"2";"historico";"2024";"COMPRA 2024 C/ IMP (estimada com base Jan à Out/24)";"22000000";"22000000.0000";"NULL";"16";"COMPRA 2024 C/ IMP (estimada com base Jan à Out/24) | 22000000"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"3";"3";"historico";"2024";"OBJETIVO DE CRESCIMENTO 2023";"20%";"20.0000";"%";"19";"OBJETIVO DE CRESCIMENTO 2023 | 20%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"4";"4";"historico";"2024";"OBJETIVO DE MARGEM STOK CENTER 2023";"20%";"20.0000";"%";"22";"OBJETIVO DE MARGEM STOK CENTER 2023 | 20%"
"4";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MASTER";"1";"MASTER ATS";"PLANO DE NEGÓCIOS";"NULL";"MARÇO À DEZEMBRO/26";"2026-03";"2026-12";"2026-03 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"5";"1";"historico";"2025";"HISTÓRICO";"NULL";"NULL";"NULL";"14";"HISTÓRICO | 2025"
"4";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MASTER";"1";"MASTER ATS";"PLANO DE NEGÓCIOS";"NULL";"MARÇO À DEZEMBRO/26";"2026-03";"2026-12";"2026-03 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"6";"2";"historico";"2025";"VOLUME/MÊS (Média Jul à Dez/25) CAIXAS:";"2850";"2850.0000";"CX";"16";"VOLUME/MÊS (Média Jul à Dez/25) CAIXAS: | 2850"
"4";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MASTER";"1";"MASTER ATS";"PLANO DE NEGÓCIOS";"NULL";"MARÇO À DEZEMBRO/26";"2026-03";"2026-12";"2026-03 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"7";"3";"historico";"2025";"COMPRA (Média Jul à Dez/25) EM VALOR:";"160000";"160000.0000";"NULL";"19";"COMPRA (Média Jul à Dez/25) EM VALOR: | 160000"
"7";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"IRMAOS ZAT";"1";"IRMÃOS ZAT LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"8";"1";"historico";"2025";"HISTÓRICO";"NULL";"NULL";"NULL";"14";"HISTÓRICO | 2025"
"7";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"IRMAOS ZAT";"1";"IRMÃOS ZAT LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"9";"2";"historico";"2025";"OBJETIVO DE VOLUME/MÊS (2025)CX:";"48000";"48000.0000";"CX";"16";"OBJETIVO DE VOLUME/MÊS (2025)CX: | 48000"
"7";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"IRMAOS ZAT";"1";"IRMÃOS ZAT LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"10";"3";"historico";"2025";"COMPRA 2025 EM VALOR (MARÇO À NOVEMBRO)";"1919997";"1919997.0000";"NULL";"19";"COMPRA 2025 EM VALOR (MARÇO À NOVEMBRO) | 1919997"
"8";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GRANDESUL";"1";"GRANDESUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"11";"1";"historico";"2025";"HISTÓRICO";"NULL";"NULL";"NULL";"14";"HISTÓRICO | 2025"
"8";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GRANDESUL";"1";"GRANDESUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"12";"2";"historico";"2025";"OBJETIVO DE VOLUME/MÊS (2025) CAIXAS:";"5.500cx";"5500.0000";"CX";"16";"OBJETIVO DE VOLUME/MÊS (2025) CAIXAS: | 5.500cx"
"8";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GRANDESUL";"1";"GRANDESUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"13";"3";"historico";"2025";"COMPRA 2025 EM VALOR:";"2771818.58";"2771818.5800";"NULL";"19";"COMPRA 2025 EM VALOR: | 2771818.58"
"8";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GRANDESUL";"1";"GRANDESUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"14";"4";"historico";"2025";"SHARE 2025 (ÚLTIMO TRIMESTRE)";"19,6%";"19.6000";"%";"22";"SHARE 2025 (ÚLTIMO TRIMESTRE) | 19,6%"
"9";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TISCHLER";"1";"TISCHLER";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"15";"1";"historico";"2025";"HISTÓRICO";"NULL";"NULL";"NULL";"14";"HISTÓRICO | 2025"
"9";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TISCHLER";"1";"TISCHLER";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"16";"2";"historico";"2025";"MÉDIA COMPRA MÊS (2025) VALOR: (Ago à Dez)";"75283.82";"75283.8200";"NULL";"16";"MÉDIA COMPRA MÊS (2025) VALOR: (Ago à Dez) | 75283.82"
