"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"investimento_extra_id";"linha_ordem";"descricao";"valor_original";"valor_numerico";"unidade";"row_excel";"linha_original"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"1";"2";"PROMOTOR EM TODAS AS LOJAS";"SIM";"NULL";"NULL";"73";"PROMOTOR EM TODAS AS LOJAS | SIM"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"2";"3";"RETORNO FINANCEIRO (PREVISTO EM CONTRATO):";"STOK CENTER: TOTAL 3% / ZAFFARI 3% + 5% REF LOGÍSTICA = 8%";"NULL";"%";"76";"RETORNO FINANCEIRO (PREVISTO EM CONTRATO): | STOK CENTER: TOTAL 3% / ZAFFARI 3% + 5% REF LOGÍSTICA = 8%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"3";"4";"LIBERAÇÃO DADOS SCANNTECH 2025";"36000";"36000.0000";"NULL";"79";"LIBERAÇÃO DADOS SCANNTECH 2025 | 36000"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"4";"5";"ADICIONAL POR CRESCIMENTO + CATEGORIAS";"CONFORME DETALHAMENTO RODAPÉ";"NULL";"NULL";"82";"ADICIONAL POR CRESCIMENTO + CATEGORIAS | CONFORME DETALHAMENTO RODAPÉ"
"2";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"COMERCIAL SERRA";"1";"COMERCIAL SERRA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"5";"2";"PROMOTOR:";"SIM";"NULL";"NULL";"62";"PROMOTOR: | SIM"
"3";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"RAGAN";"1";"RAGAN";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"6";"2";"PROMOTOR:";"Não";"NULL";"NULL";"54";"PROMOTOR: | Não"
"3";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"RAGAN";"1";"RAGAN";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"7";"3";"RETORNO FINANCEIRO (CONTRATO):";"Sim";"NULL";"NULL";"57";"RETORNO FINANCEIRO (CONTRATO): | Sim"
"4";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MASTER";"1";"MASTER ATS";"PLANO DE NEGÓCIOS";"NULL";"MARÇO À DEZEMBRO/26";"2026-03";"2026-12";"2026-03 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"8";"2";"PROMOTOR:";"SIM";"NULL";"NULL";"76";"PROMOTOR: | SIM"
"7";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"IRMAOS ZAT";"1";"IRMÃOS ZAT LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"9";"2";"PROMOTOR:";"SIM";"NULL";"NULL";"73";"PROMOTOR: | SIM"
"7";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"IRMAOS ZAT";"1";"IRMÃOS ZAT LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"10";"3";"RETORNO FINANCEIRO (CONTRATO):";"SIM";"NULL";"NULL";"76";"RETORNO FINANCEIRO (CONTRATO): | SIM"
