"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"objetivo_id";"linha_ordem";"tipo_registro";"ano_bloco";"descricao";"valor_original";"valor_numerico";"unidade";"gatilho_anual";"faturamento";"lava_roupas_liquido";"amaciante_concentrado";"observacao";"lado_layout";"row_excel";"linha_original"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"1";"1";"objetivo";"2025";"OBJETIVOS";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"25";"OBJETIVOS | 2025"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"2";"2";"objetivo";"2025";"OBJETIVO DE COMPRA C/ IMPOSTOS PARA 2025:";"25300000";"25300000.0000";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"27";"OBJETIVO DE COMPRA C/ IMPOSTOS PARA 2025: | 25300000"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"3";"3";"objetivo";"2025";"OBJETIVO DE MARGEM STOK CENTER PARA 2025:";"19%";"19.0000";"%";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"30";"OBJETIVO DE MARGEM STOK CENTER PARA 2025: | 19%"
"3";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"RAGAN";"1";"RAGAN";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"4";"1";"objetivo";"NULL";"OBJETIVOS PARA O INVESTIMENTO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"14";"OBJETIVOS PARA O INVESTIMENTO"
"3";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"RAGAN";"1";"RAGAN";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"5";"2";"objetivo";"NULL";"OBJETIVO DE VOLUME/MÊS (CAIXAS):";"200";"200.0000";"CX";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"16";"OBJETIVO DE VOLUME/MÊS (CAIXAS): | 200"
"3";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"RAGAN";"1";"RAGAN";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"6";"3";"objetivo";"NULL";"OBJETIVO DE VOLUME/TOTAL DO PERÍODO (CAIXAS):";"1000";"1000.0000";"CX";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"19";"OBJETIVO DE VOLUME/TOTAL DO PERÍODO (CAIXAS): | 1000"
"3";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"RAGAN";"1";"RAGAN";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"7";"4";"objetivo";"NULL";"MODALIDADE DE CARREGAMENTO:";"CIF";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"22";"MODALIDADE DE CARREGAMENTO: | CIF"
"4";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MASTER";"1";"MASTER ATS";"PLANO DE NEGÓCIOS";"NULL";"MARÇO À DEZEMBRO/26";"2026-03";"2026-12";"2026-03 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"8";"1";"objetivo";"2026";"OBJETIVOS";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"22";"OBJETIVOS | 2026"
"4";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MASTER";"1";"MASTER ATS";"PLANO DE NEGÓCIOS";"NULL";"MARÇO À DEZEMBRO/26";"2026-03";"2026-12";"2026-03 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"9";"2";"objetivo";"2026";"OBJETIVO NORTEADOR DE VOLUME/MÊS (CAIXAS):";"4200";"4200.0000";"CX";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"24";"OBJETIVO NORTEADOR DE VOLUME/MÊS (CAIXAS): | 4200"
"4";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MASTER";"1";"MASTER ATS";"PLANO DE NEGÓCIOS";"NULL";"MARÇO À DEZEMBRO/26";"2026-03";"2026-12";"2026-03 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"10";"3";"objetivo";"2026";"OBJETIVO NORTEADOR DE VOLUME/TOTAL DO PERÍODO (CX):";"42000";"42000.0000";"CX";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"27";"OBJETIVO NORTEADOR DE VOLUME/TOTAL DO PERÍODO (CX): | 42000"
"4";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MASTER";"1";"MASTER ATS";"PLANO DE NEGÓCIOS";"NULL";"MARÇO À DEZEMBRO/26";"2026-03";"2026-12";"2026-03 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"11";"4";"objetivo";"2026";"MODALIDADE DE CARREGAMENTO:";"FOB";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"30";"MODALIDADE DE CARREGAMENTO: | FOB"
"6";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"ITALO";"2";"ITALO SUPERMERCADOS LTDA";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"12";"1";"objetivo";"NULL";"OBJETIVOS PARA O INVESTIMENTO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"14";"OBJETIVOS PARA O INVESTIMENTO"
"6";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"ITALO";"2";"ITALO SUPERMERCADOS LTDA";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"13";"2";"objetivo";"NULL";"OBJETIVO DE VOLUME/MÊS (CAIXAS):";"1200";"1200.0000";"CX";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"16";"OBJETIVO DE VOLUME/MÊS (CAIXAS): | 1200"
"6";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"ITALO";"2";"ITALO SUPERMERCADOS LTDA";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"14";"3";"objetivo";"NULL";"OBJETIVO DE VOLUME/TOTAL DO PERÍODO (CAIXAS):";"7200";"7200.0000";"CX";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"19";"OBJETIVO DE VOLUME/TOTAL DO PERÍODO (CAIXAS): | 7200"
"6";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"ITALO";"2";"ITALO SUPERMERCADOS LTDA";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"15";"4";"objetivo";"NULL";"MODALIDADE DE CARREGAMENTO:";"CIF";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"22";"MODALIDADE DE CARREGAMENTO: | CIF"
"7";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"IRMAOS ZAT";"1";"IRMÃOS ZAT LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"16";"1";"objetivo_tabela";"2026";"NULL";"NULL";"NULL";"NULL";"OBJETIVO DE FAIXA 1";"3000000";"6.500cx";"2.500cx";"NULL";"NULL";"26";"OBJETIVO DE FAIXA 1 | 3000000 | 6.500cx | 2.500cx"
"7";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"IRMAOS ZAT";"1";"IRMÃOS ZAT LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"17";"2";"objetivo_tabela";"2026";"NULL";"NULL";"NULL";"NULL";"OBJETIVO DE FAIXA 2";"3500000";"7.500cx";"3.000cx";"NULL";"NULL";"28";"OBJETIVO DE FAIXA 2 | 3500000 | 7.500cx | 3.000cx"
"8";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GRANDESUL";"1";"GRANDESUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"18";"1";"objetivo";"2026";"OBJETIVOS";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"25";"OBJETIVOS | 2026"
"8";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GRANDESUL";"1";"GRANDESUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"19";"2";"objetivo";"2026";"OBJETIVO DE VOLUME/MÊS (CAIXAS):";"5.800cx";"5800.0000";"CX";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"27";"OBJETIVO DE VOLUME/MÊS (CAIXAS): | 5.800cx"
"8";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GRANDESUL";"1";"GRANDESUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"20";"3";"objetivo";"2026";"OBJETIVO DE VOLUME/TOTAL DO PERÍODO (CAIXAS):";"69.600cx";"69600.0000";"CX";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"30";"OBJETIVO DE VOLUME/TOTAL DO PERÍODO (CAIXAS): | 69.600cx"
