"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"premissa_id";"linha_ordem";"descricao";"valor_original";"row_excel";"linha_original"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"1";"6";"PREMISSAS GERAIS";"NULL";"85";"PREMISSAS GERAIS"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"2";"7";"O presente acordo é condicionado, considerando-se mutuamente o pagamento do investimento e a realização da contrapartida;";"NULL";"87";"O presente acordo é condicionado, considerando-se mutuamente o pagamento do investimento e a realização da contrapartida;"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"3";"8";"As ações comerciais previstas no Plano de Mídia deverão ser comprovadas até o dia 07 do mês subsequente a ação para que o pagamento seja realizado;";"NULL";"89";"As ações comerciais previstas no Plano de Mídia deverão ser comprovadas até o dia 07 do mês subsequente a ação para que o pagamento seja realizado;"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"4";"9";"O percentual apurado é sobre o total dos produtos com impostos;";"NULL";"90";"O percentual apurado é sobre o total dos produtos com impostos;"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"5";"10";"O pagamento da verba será efetuado mensalmente, mediante atingimento de objetivo e comprovação das ações.";"NULL";"91";"O pagamento da verba será efetuado mensalmente, mediante atingimento de objetivo e comprovação das ações."
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"6";"11";"____________________________________________";"____________________________________________";"98";"____________________________________________ | ____________________________________________"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"7";"12";"STOK CENTER";"AQUAFAST - Produtos de Higiene e Limpeza";"99";"STOK CENTER | AQUAFAST - Produtos de Higiene e Limpeza"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"8";"13";"1º de Novembro de 2024";"NULL";"101";"1º de Novembro de 2024"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"9";"14";"ADICIONAL DE INVESTIMENTO (Crescimento + Objetivo Categorias)";"NULL";"105";"ADICIONAL DE INVESTIMENTO (Crescimento + Objetivo Categorias)"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"10";"15";"APURAÇÃO";"Trimestral. Considerado entrada de pedidos com Impostos.";"107";"APURAÇÃO: Trimestral. Considerado entrada de pedidos com Impostos."
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"11";"16";"PREMISSAS";"atingir o percentual de crescimento e também o objetivo de compra dos itens listados no trimestre. Necessário atingir ambos para ativar invesimento.";"108";"PREMISSAS: atingir o percentual de crescimento e também o objetivo de compra dos itens listados no trimestre. Necessário atingir ambos para ativar invesimento."
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"12";"17";"STOK CENTER - OBJETIVO COMPRA";"GATILHO - INCREMENTO VENDA";"110";"STOK CENTER - OBJETIVO COMPRA | GATILHO - INCREMENTO VENDA"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"13";"18";"PRODUTO";"INVESTIMENTO %";"111";"PRODUTO | EMBALAGEM | Janeiro à Junho | Julho à Dezembro | PERÍODO | ATINGIMENTO | INVESTIMENTO %"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"14";"19";"Objetivo trimestral";"0,5%";"112";"Objetivo trimestral | Objetivo trimestral | TRIMESTRE 1 | CRESCIMENTO ENTRE 15,01% E 25% | 0,5%"
